UniProt_ID,Protein,Gene,OMIM_ID
Q96HD1,CREL1_HUMAN,CRELD1,606217
P07316,CRGB_HUMAN,CRYGB,615188
Q6XUX3,DUSTY_HUMAN,DSTYK,270750
O75462,CRLF1_HUMAN,CRLF1,272430
P82279,CRUM1_HUMAN,CRB1,172870
Q5IJ48,CRUM2_HUMAN,CRB2,219730
Q14894,CRYM_HUMAN,CRYM,616357
O14936,CSKP_HUMAN,CASK,300422
Q8N960,CE120_HUMAN,CEP120,616300
P05156,CFAI_HUMAN,CFI,610984
P32929,CGL_HUMAN,CTH,219500
Q0VF96,CGNL1_HUMAN,CGNL1,139300
Q96NL8,CH037_HUMAN,C8orf37,614500
P10809,CH60_HUMAN,HSPD1,605280
Q96BA8,CR3L1_HUMAN,CREB3L1,616229
P43320,CRBB2_HUMAN,CRYBB2,601547
P53674,CRBB1_HUMAN,CRYBB1,611544
Q9NRD8,DUOX2_HUMAN,DUOX2,607200
Q53EZ4,CEP55_HUMAN,CEP55,236500
Q9HC77,CENPJ_HUMAN,CENPJ,608393
Q49MI3,CERKL_HUMAN,CERKL,608380
A5D8W1,CFA69_HUMAN,CFAP69,617959
P35462,DRD3_HUMAN,DRD3,181500
P21918,DRD5_HUMAN,DRD5,606798
Q16643,DREB_HUMAN,DBN1,104300
Q9UL01,DSE_HUMAN,DSE,615539
Q02413,DSG1_HUMAN,DSG1,148700
Q14126,DSG2_HUMAN,DSG2,610193
Q86SJ6,DSG4_HUMAN,DSG4,607903
Q13286,CLN3_HUMAN,CLN3,204200
O75503,CLN5_HUMAN,CLN5,256731
P49917,DNLI4_HUMAN,LIG4,602450
Q9UBY8,CLN8_HUMAN,CLN8,600143
Q9UKG1,DP13A_HUMAN,APPL1,616511
Q6ZWL3,CP4V2_HUMAN,CYP4V2,210370
Q07973,CP24A_HUMAN,CYP24A1,143880
Q9UI46,DNAI1_HUMAN,DNAI1,244400
Q96KJ9,COX42_HUMAN,COX4I2,612714
Q9NR63,CP26B_HUMAN,CYP26B1,614416
P78329,CP4F2_HUMAN,CYP4F2,122700
P49238,CX3C1_HUMAN,CX3CR1,609423
P14854,CX6B1_HUMAN,COX6B1,220110
Q9Y6H8,CXA3_HUMAN,GJA3,601885
Q14204,DYHC1_HUMAN,DYNC1H1,158600
Q8NCM8,DYHC2_HUMAN,DYNC2H1,613091
Q9NTQ9,CXB4_HUMAN,GJB4,617524
P08574,CY1_HUMAN,CYC1,615453
Q05193,DYN1_HUMAN,DNM1,616346
Q9P2K8,E2AK4_HUMAN,EIF2AK4,234810
P00156,CYB_HUMAN,MT-CYB,500000
P43003,EAA1_HUMAN,SLC1A3,612656
P99999,CYC_HUMAN,CYCS,612004
Q96F07,CYFP2_HUMAN,CYFIP2,618008
P11511,CP19A_HUMAN,CYP19A1,139300
Q2NKJ3,CTC1_HUMAN,CTC1,612199
P35221,CTNA1_HUMAN,CTNNA1,608970
O60931,CTNS_HUMAN,CTNS,219750
Q5T442,CXG2_HUMAN,GJC2,608804
Q9Y463,DYR1B_HUMAN,DYRK1B,615812
Q15125,EBP_HUMAN,EBP,300960
Q66GS9,CP135_HUMAN,CEP135,614673
P02511,CRYAB_HUMAN,CRYAB,608810
P15509,CSF2R_HUMAN,CSF2RA,300770
P07333,CSF1R_HUMAN,CSF1R,221820
P68400,CSK21_HUMAN,CSNK2A1,617062
P13611,CSPG2_HUMAN,VCAN,143200
Q1MSJ5,CSPP1_HUMAN,CSPP1,615636
P50461,CSRP3_HUMAN,CSRP3,607482
P16410,CTLA4_HUMAN,CTLA4,109100
P00374,DYR_HUMAN,DHFR,613839
O75923,DYSF_HUMAN,DYSF,253601
Q03001,DYST_HUMAN,DST,614653
Q8IYY4,DZI1L_HUMAN,DZIP1L,617610
P05108,CP11A_HUMAN,CYP11A1,613743
Q8TCG5,CPT1C_HUMAN,CPT1C,616282
Q9Y4J8,DTNA_HUMAN,DTNA,604169
P20023,CR2_HUMAN,CR2,610927
O75718,CRTAP_HUMAN,CRTAP,610682
P02489,CRYAA_HUMAN,CRYAA,604219
Q13363,CTBP1_HUMAN,CTBP1,617915
P17302,CXA1_HUMAN,GJA1,104100
O95452,CXB6_HUMAN,GJB6,129500
O75712,CXB3_HUMAN,GJB3,133200
Q7RTS9,DYM_HUMAN,DYM,223800
P13498,CY24A_HUMAN,CYBA,233690
P04839,CY24B_HUMAN,CYBB,300645
Q13627,DYR1A_HUMAN,DYRK1A,614104
Q9NZJ5,E2AK3_HUMAN,EIF2AK3,226980
O43186,CRX_HUMAN,CRX,120970
Q53GD3,CTL4_HUMAN,SLC44A4,617606
